id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,generalisation
4349439,Callocephalon fimbriatum,Gang-gang Cockatoo,Callocephalon fimbriatum,https://biodiversity.org.au/afd/taxa/6c646af8-06fb-40ae-83aa-3dd001cc4ea6,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349534,Ninox strenua,Powerful Owl,Ninox (Rhabdoglaux) strenua,https://biodiversity.org.au/afd/taxa/d1c5dee0-0de6-487c-bf10-9fc5188ab671,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349543,Tyto tenebricosa,Sooty Owl,Tyto tenebricosa,https://biodiversity.org.au/afd/taxa/645b287c-e547-4602-9275-ad3f972328bb,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349518,Ninox connivens,Barking Owl,Ninox (Hieracoglaux) connivens,https://biodiversity.org.au/afd/taxa/bd332ca4-dab5-4fda-8d68-04b678ffcdb4,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349526,Hoplocephalus bungaroides,Broad-headed Snake,Hoplocephalus bungaroides,https://biodiversity.org.au/afd/taxa/f579a6fc-ae01-4338-ba3c-16cdc4e53246,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349544,Neophema chrysogaster,Orange-bellied Parrot,Neophema (Neonanodes) chrysogaster,https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349450,Glossopsitta porphyrocephala,Purple-crowned Lorikeet,Parvipsitta porphyrocephala,https://biodiversity.org.au/afd/taxa/a2399fe3-c90f-4fb1-a710-fe81643ff56e,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349572,Philoria loveridgei,Loveridge's Frog,Philoria loveridgei,https://biodiversity.org.au/afd/taxa/f1e8b187-acbb-472d-89e7-a1900b4acdc7,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349582,Dasyornis brachypterus,Eastern Bristlebird,Dasyornis (Dasyornis) brachypterus,https://biodiversity.org.au/afd/taxa/5a760ca8-e6c7-4465-a113-3eaf26b170cb,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349561,Hamirostra melanosternon,Black-breasted Buzzard,Hamirostra melanosternon,https://biodiversity.org.au/afd/taxa/96e35cba-e86c-47dd-848e-056377227209,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349412,Neophema pulchella,Turquoise Parrot,Neophema (Neophema) pulchella,https://biodiversity.org.au/afd/taxa/e9cc09f0-bfc4-40a1-8b5b-a7f4beb3271d,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349466,Tyto novaehollandiae,Masked Owl,Tyto novaehollandiae,https://biodiversity.org.au/afd/taxa/f1c0ca04-8d30-40f4-ab25-103c74f430d2,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349547,Cyclopsitta diophthalma coxeni,Coxen's Fig-parrot,Cyclopsitta diophthalma coxeni,https://biodiversity.org.au/afd/taxa/2c0e502e-f6ae-4efb-a023-d068a7955879,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349585,Lophoictinia isura,Square-tailed Kite,Lophoictinia isura,https://biodiversity.org.au/afd/taxa/715a2874-1942-4762-866c-1194990e7a91,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349442,Erythrotriorchis radiatus,Red Goshawk,Erythrotriorchis radiatus,https://biodiversity.org.au/afd/taxa/390a23b8-0097-4a2c-b068-283d2d4bd21f,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349415,Lophochroa leadbeateri,Major Mitchell's Cockatoo,Lophochroa leadbeateri,https://biodiversity.org.au/afd/taxa/5815e99d-01cd-4a92-99ba-36f480c4834d,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349433,Calyptorhynchus lathami,Glossy Black-cockatoo,Calyptorhynchus (Calyptorhynchus) lathami,https://biodiversity.org.au/afd/taxa/2b3630b3-6e95-47b8-ad3f-e3f46fa797dc,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349467,Mixophyes balbus,Stuttering Frog,Mixophyes balbus,https://biodiversity.org.au/afd/taxa/7e478d81-8ec8-49ae-a51f-b838bbe05c77,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349506,Mixophyes fleayi,Fleay's Barred Frog,Mixophyes fleayi,https://biodiversity.org.au/afd/taxa/289e1b7c-1323-473a-8c2b-a674324c102e,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349535,Polytelis anthopeplus monarchoides,Regent Parrot (eastern Subspecies),Polytelis anthopeplus monarchoides,https://biodiversity.org.au/afd/taxa/1958a1ff-0233-4257-9f8c-032dcadb6fea,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349583,Philoria kundagungan,Mountain Frog,Philoria kundagungan,https://biodiversity.org.au/afd/taxa/fcb2e700-8046-4556-94bd-78d188dadd9c,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349578,Mixophyes iteratus,Giant Barred Frog,Mixophyes iteratus,https://biodiversity.org.au/afd/taxa/9eef5215-a3d4-4435-b82c-9284d730f002,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349495,Falco hypoleucos,Grey Falcon,Falco (Hierofalco) hypoleucos,https://biodiversity.org.au/afd/taxa/4c73a934-63ae-417d-af40-56a82ae68371,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349569,Pseudophryne corroboree,Southern Corroboree Frog,Pseudophryne corroboree,https://biodiversity.org.au/afd/taxa/1a3bc394-a748-4755-a6b8-98dd42da48db,dr487,"[{'key': 'generalisation', 'value': '10km'}]",10km
4349440,Polytelis swainsonii,Superb Parrot,Polytelis swainsonii,https://biodiversity.org.au/afd/taxa/46fca72f-4a32-44c5-a67c-770bd5333f55,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
4349542,Pedionomus torquatus,Plains-wanderer,Pedionomus torquatus,https://biodiversity.org.au/afd/taxa/30b4b2e5-0d5b-46cb-bddb-a2137a35fa2c,dr487,"[{'key': 'generalisation', 'value': '1km'}]",1km
